suite,run_id_safe,bench,gc_flag,rep,wall_s,energy_total_j,energy_pkg_j,energy_dram_j,energy_pp0_j,energy_pp1_j,cpu_pct_avg,rss_mb_avg,throughput_iter_per_s,gc_pause_ms_avg
jabref,jabref_open_all_x6_10_b3dbc6fd,open_all_x6,-XX:+UseParallelGC,10,15.6,276.276978,274.268555,0.0,1.004211,1.004211,,491.25,0.064103,0.0
jabref,jabref_open_all_x6_1_0eb9fd54,open_all_x6,-XX:+UseG1GC,1,16.56,222.203186,221.007507,0.0,0.597839,0.597839,,460.602,0.060386,0.0
jabref,jabref_open_all_x6_2_c4b4add7,open_all_x6,-XX:+UseG1GC,2,14.57,253.051147,253.041016,0.0,0.005066,0.005066,,477.551,0.068634,0.0
jabref,jabref_open_all_x6_3_935e94f6,open_all_x6,-XX:+UseG1GC,3,14.18,253.714783,253.714783,0.0,0.0,0.0,,471.363,0.070522,0.0
jabref,jabref_open_all_x6_4_4495eb8f,open_all_x6,-XX:+UseG1GC,4,14.07,258.621033,258.614075,0.0,0.003479,0.003479,,492.305,0.071073,0.0
jabref,jabref_open_all_x6_5_e716e73d,open_all_x6,-XX:+UseG1GC,5,14.21,255.779724,255.779724,0.0,0.0,0.0,,480.766,0.070373,0.0
jabref,jabref_open_all_x6_6_c26c494a,open_all_x6,-XX:+UseG1GC,6,14.51,260.457947,260.457947,0.0,0.0,0.0,,476.789,0.068918,0.0
jabref,jabref_open_all_x6_7_ccdc845b,open_all_x6,-XX:+UseG1GC,7,14.47,257.532715,257.5271,0.0,0.002808,0.002808,,504.691,0.069109,0.0
jabref,jabref_open_all_x6_8_0fd46289,open_all_x6,-XX:+UseG1GC,8,13.98,260.082397,260.082397,0.0,0.0,0.0,,476.504,0.071531,0.0
jabref,jabref_open_all_x6_9_60b07a28,open_all_x6,-XX:+UseG1GC,9,14.21,254.135132,254.123901,0.0,0.005615,0.005615,,466.883,0.070373,0.0
jabref,jabref_open_all_x6_10_2dfa0483,open_all_x6,-XX:+UseG1GC,10,13.9,256.025269,256.025269,0.0,0.0,0.0,,485.438,0.071942,0.0
jabref,jabref_open_all_x6_1_324a2bdb,open_all_x6,-XX:+UseZGC,1,14.9,239.033752,239.023987,0.0,0.004883,0.004883,,466.781,0.067114,0.0
jabref,jabref_open_all_x6_2_7922e1b1,open_all_x6,-XX:+UseZGC,2,14.32,255.186829,255.186829,0.0,0.0,0.0,,478.375,0.069832,0.0
jabref,jabref_open_all_x6_3_f60c573b,open_all_x6,-XX:+UseZGC,3,14.05,255.374329,255.374329,0.0,0.0,0.0,,480.828,0.071174,0.0
jabref,jabref_open_all_x6_4_bf20c404,open_all_x6,-XX:+UseZGC,4,14.03,255.646667,255.61969,0.0,0.013489,0.013489,,488.523,0.071276,0.0
jabref,jabref_open_all_x6_5_0436de7b,open_all_x6,-XX:+UseZGC,5,13.93,255.941589,255.941589,0.0,0.0,0.0,,467.375,0.071788,0.0
jabref,jabref_open_all_x6_6_a5e9cf2d,open_all_x6,-XX:+UseZGC,6,13.75,256.245117,256.236816,0.0,0.00415,0.00415,,494.098,0.072727,0.0
jabref,jabref_open_all_x6_7_719f9784,open_all_x6,-XX:+UseZGC,7,14.15,261.220581,261.220581,0.0,0.0,0.0,,493.477,0.070671,0.0
jabref,jabref_open_all_x6_8_e669fd6d,open_all_x6,-XX:+UseZGC,8,14.14,256.486389,256.486389,0.0,0.0,0.0,,474.836,0.070721,0.0
jabref,jabref_open_all_x6_9_e3219be5,open_all_x6,-XX:+UseZGC,9,14.11,249.243469,249.242371,0.0,0.000549,0.000549,,480.621,0.070872,0.0
jabref,jabref_open_all_x6_10_c05d5252,open_all_x6,-XX:+UseZGC,10,14.04,256.730347,256.730347,0.0,0.0,0.0,,466.266,0.071225,0.0
# test change
